Weight vector: [[ 0.90032473  0.78604619  0.85077613  1.29870263  0.1298506   1.57192678
   0.99844888 -0.01520158]]
Learning rate: 0.75
Step	Cost
1079	[14.9943506]
1080	[14.99431109]
1081	[14.9942717]
1082	[14.99423244]
1083	[14.99419331]
1084	[14.9941543]
1085	[14.99411541]
1086	[14.99407665]
1087	[14.99403801]
1088	[14.9939995]
1089	[14.99396111]
1090	[14.99392284]
1091	[14.99388469]
1092	[14.99384666]
1093	[14.99380876]
1094	[14.99377097]
1095	[14.99373331]
1096	[14.99369577]
1097	[14.99365834]
1098	[14.99362104]
1099	[14.99358385]
1100	[14.99354678]
1101	[14.99350983]
1102	[14.993473]
1103	[14.99343628]
1104	[14.99339968]
1105	[14.9933632]
1106	[14.99332684]
1107	[14.99329059]
1108	[14.99325445]
1109	[14.99321843]
1110	[14.99318253]
1111	[14.99314674]
1112	[14.99311106]
1113	[14.9930755]
1114	[14.99304005]
1115	[14.99300471]
1116	[14.99296949]
1117	[14.99293437]
1118	[14.99289937]
1119	[14.99286449]
1120	[14.99282971]
1121	[14.99279504]
1122	[14.99276049]
1123	[14.99272604]
1124	[14.9926917]
1125	[14.99265747]
1126	[14.99262336]
1127	[14.99258935]
1128	[14.99255545]
1129	[14.99252165]
1130	[14.99248797]
1131	[14.99245439]
1132	[14.99242092]
1133	[14.99238755]
1134	[14.99235429]
1135	[14.99232114]
1136	[14.99228809]
1137	[14.99225515]
1138	[14.99222231]
1139	[14.99218958]
1140	[14.99215695]
1141	[14.99212443]
1142	[14.99209201]
1143	[14.99205969]
1144	[14.99202747]
1145	[14.99199536]
1146	[14.99196335]
1147	[14.99193144]
1148	[14.99189964]
1149	[14.99186793]
1150	[14.99183633]
1151	[14.99180483]
1152	[14.99177342]
1153	[14.99174212]
1154	[14.99171092]
1155	[14.99167981]
1156	[14.99164881]
1157	[14.9916179]
1158	[14.99158709]
1159	[14.99155638]
1160	[14.99152577]
1161	[14.99149526]
1162	[14.99146484]
1163	[14.99143452]
1164	[14.9914043]
1165	[14.99137417]
1166	[14.99134414]
1167	[14.9913142]
1168	[14.99128436]
1169	[14.99125461]
1170	[14.99122496]
1171	[14.99119541]
1172	[14.99116594]
1173	[14.99113658]
1174	[14.9911073]
1175	[14.99107812]
1176	[14.99104903]
1177	[14.99102003]
1178	[14.99099113]
1179	[14.99096232]
1180	[14.9909336]
1181	[14.99090497]
1182	[14.99087643]
1183	[14.99084799]
1184	[14.99081963]
1185	[14.99079136]
1186	[14.99076319]
1187	[14.9907351]
1188	[14.99070711]
1189	[14.9906792]
1190	[14.99065138]
1191	[14.99062365]
1192	[14.99059601]
1193	[14.99056846]
1194	[14.99054099]
1195	[14.99051361]
1196	[14.99048632]
1197	[14.99045912]
1198	[14.990432]
1199	[14.99040497]
1200	[14.99037802]
1201	[14.99035116]
1202	[14.99032439]
1203	[14.9902977]
1204	[14.9902711]
1205	[14.99024458]
1206	[14.99021814]
1207	[14.99019179]
1208	[14.99016553]
1209	[14.99013934]
1210	[14.99011324]
